200c87a0 %
162049c1 MainDamage2
777e137e MainDamage2Postfix
869f2cf5 MainDamage2Prefix
1520482e MainDamage3
a398c35b MainDamage3Postfix
874a4c22 MainDamage3Prefix
18204ce7 MainDamage4
95afb0ec MainDamage4Postfix
84df38fb MainDamage4Prefix
17204b54 MainDamage5
13960151 MainDamage5Postfix
2e8be4d0 MainDamage5Prefix
1a20500d MainDamage6
d324960a MainDamage6Postfix
75aae111 MainDamage6Prefix
81048dcb MainDamageNL
fa720fdd MainTargetBaseDamage
2d8f1084 MainTargetBaseDamage1
557396a1 MainTargetBaseDamage1Postfix
19011620 MainTargetBaseDamage1Prefix
308f153d MainTargetBaseDamage2
d852819a MainTargetBaseDamage2Postfix
cf841421 MainTargetBaseDamage2Prefix
2f8f13aa MainTargetBaseDamage3
de690b47 MainTargetBaseDamage3Postfix
773147ce MainTargetBaseDamage3Prefix
a1a985bf MainTargetBaseDamageNL
a3ad631d MaladyStackDuration
6d2f120d MamaBonusPercentMS
d997830a Mana
c48395e1 Mana1
bb11841e Mana1Postfix
759b9315 Mana1Prefix
c1839128 Mana2
9cbbcb85 Mana2Postfix
28428344 Mana2Prefix
c28392bb Mana3
953cf570 Mana3Postfix
ec0b18cf Mana3Prefix
c7839a9a Mana4
d33fe657 Mana4Postfix
38951ede Mana4Prefix
c8839c2d Mana5
91c24baa Mana5Postfix
90e65831 Mana5Prefix
af2150c6 ManaAmount
eb110abd ManaBonus
97d39a64 ManaBonus1
64056301 ManaBonus1Postfix
257c8700 ManaBonus1Prefix
9ad39f1d ManaBonus2
a2b2c7fa ManaBonus2Postfix
c64ce501 ManaBonus2Prefix
99d39d8a ManaBonus3
5289eaa7 ManaBonus3Postfix
7e739eae ManaBonus3Prefix
ccc2a9f ManaBonusNL
1e85060f ManaCalc
e09e9ccb ManaChargeAmmoCD
69fddd52 ManaChargeMaxAmmo
75b6b548 ManaConsumedPerHit
8bcc4d7b ManaCost
b8063ba1 ManaCostCap
8e304eff ManaCostDuration
bd2ac80f ManaCostHelper
72853a03 ManaCostIncrease
bfdaaab6 ManaCostPerSecond
8c3a7285 ManaCostPerSecond1
e6978d62 ManaCostPerSecond1Postfix
92ed1089 ManaCostPerSecond1Prefix
893a6dcc ManaCostPerSecond2
ae41e509 ManaCostPerSecond2Postfix
3ec7d4a8 ManaCostPerSecond2Prefix
8a3a6f5f ManaCostPerSecond3
b3a75264 ManaCostPerSecond3Postfix
85240f3 ManaCostPerSecond3Prefix
a7cb936c ManaCostPerSecondNL
1f714854 ManaCostReduction
e454f6ff ManaCostReduction1
187e9484 ManaCostReduction1Postfix
166b1493 ManaCostReduction1Prefix
e554f892 ManaCostReduction2
b703116f ManaCostReduction2Postfix
c4ca5bf6 ManaCostReduction2Prefix
e654fa25 ManaCostReduction3
f5754382 ManaCostReduction3Postfix
3f49e729 ManaCostReduction3Prefix
e255fe86 ManaCostReductionNL
1d96e2b8 ManaDrain
1d869dab ManaDrain1
9b3330c0 ManaDrain1Postfix
ea2c371f ManaDrain1Prefix
1e869f3e ManaDrain2
431bfb4b ManaDrain2Postfix
569a6452 ManaDrain2Prefix
1f86a0d1 ManaDrain3
f81af52e ManaDrain3Postfix
8a366525 ManaDrain3Prefix
40a8818a ManaDrainNL
7e875f0d ManaGain
6b1aeb74 ManaGain1
5a765df1 ManaGain1Postfix
40040ff0 ManaGain1Prefix
6e1af02d ManaGain2
3351a7aa ManaGain2Postfix
87230c31 ManaGain2Prefix
6d1aee9a ManaGain3
74cf4257 ManaGain3Postfix
2ed1d2de ManaGain3Prefix
681ae6bb ManaGain4
36cc5170 ManaGain4Postfix
e247cccf ManaGain4Prefix
671ae528 ManaGain5
3e4b2785 ManaGain5Postfix
1e7f3744 ManaGain5Prefix
6a1ae9e1 ManaGain6
5ca0e01e ManaGain6Postfix
6bd84715 ManaGain6Prefix
ee478ac1 ManaGainAmount
a9fb7d0 ManaGainAmount1
8bbbeb2d ManaGainAmount1Postfix
f82d564c ManaGainAmount1Prefix
d9fbc89 ManaGainAmount2
7a40a446 ManaGainAmount2Postfix
c8ac767d ManaGainAmount2Prefix
c9fbaf6 ManaGainAmount3
8e804263 ManaGainAmount3Postfix
5777be4a ManaGainAmount3Prefix
f9fbfaf ManaGainAmount4
96d791d4 ManaGainAmount4Postfix
90208023 ManaGainAmount4Prefix
e9fbe1c ManaGainAmount5
4f7617f9 ManaGainAmount5Postfix
d3b17218 ManaGainAmount5Prefix
76cc9dc3 ManaGainAmountNL
b5c114ef ManaGainNL
9380eafa ManaIncrease
e689e200 ManaNL
c8530e1d ManaPerAmp
49da4bff ManaPerAmpNL
7fd29f41 ManaPerAttack
a890fd50 ManaPerAttack1
2fc50fad ManaPerAttack1Postfix
75686fcc ManaPerAttack1Prefix
ab910209 ManaPerAttack2
1e49c8c6 ManaPerAttack2Postfix
45e78ffd ManaPerAttack2Prefix
aa910076 ManaPerAttack3
328966e3 ManaPerAttack3Postfix
d4b2d7ca ManaPerAttack3Prefix
999d0643 ManaPerAttackNL
f9b2ab95 ManaPerCharge
fc9cb82e ManaPerFighter
2895f2c4 ManaPerFighterNL
8dc0423e ManaPerFiveSeconds
8d90b86d ManaPerKill
e3ac6805 ManaPerMiss
9c6809dc ManaPerMiss1
6a8e01b9 ManaPerMiss1Postfix
acf644d8 ManaPerMiss1Prefix
9f680e95 ManaPerMiss2
aaba2712 ManaPerMiss2Postfix
81707439 ManaPerMiss2Prefix
9e680d02 ManaPerMiss3
8c8fca3f ManaPerMiss3Postfix
e1cd0886 ManaPerMiss3Prefix
ea4f4da7 ManaPerMissNL
7f27afad ManaPerProc
f9f3a081 ManaPerSecond
6f7d0783 ManaPerSecondNL
f65b45d3 ManaPerStack
9085db ManaPercent
b1756287 ManaPercentAS
f21a62e5 ManaPercentASNL
46a102eb ManaPercentDamagePercent
9777d2e ManaPercentDamagePercent1
2525ba5b ManaPercentDamagePercent1Postfix
ed3fd922 ManaPercentDamagePercent1Prefix
8777b9b ManaPercentDamagePercent2
7d3e82d0 ManaPercentDamagePercent2Postfix
bbbc7caf ManaPercentDamagePercent2Prefix
4a472549 ManaPercentDamagePercentNL
5f859434 ManaPercentReduction
df6f64b9 ManaRatio
73482a20 ManaRefund
8b9a38c3 ManaRefund1
fde57238 ManaRefund1Postfix
542484d7 ManaRefund1Prefix
8c9a3a56 ManaRefund2
31486d43 ManaRefund2Postfix
664fb6aa ManaRefund2Prefix
8d9a3be9 ManaRefund3
9de72c26 ManaRefund3Postfix
adcb86dd ManaRefund3Prefix
8e9a3d7c ManaRefund4
62b1ffd9 ManaRefund4Postfix
1188bf78 ManaRefund4Prefix
8f9a3f0f ManaRefund5
ff7074b4 ManaRefund5Postfix
3d3c7b83 ManaRefund5Prefix
715e4d52 ManaRefundNL
bdf08531 ManaRefundPercent
d13d3a93 ManaRefundRatio
d8f646f3 ManaRegen
5a3d5de0 ManaRegenPercent
3494ad0 ManaRestore
d60e033 ManaRestore1
ff4cf4c8 ManaRestore1Postfix
7f0e427 ManaRestore1Prefix
e60e1c6 ManaRestore2
96d5d553 ManaRestore2Postfix
88f3713a ManaRestore2Prefix
f60e359 ManaRestore3
68240cf6 ManaRestore3Postfix
dd3ffbed ManaRestore3Prefix
1060e4ec ManaRestore4
399c77a9 ManaRestore4Postfix
6c9ce1c8 ManaRestore4Prefix
1160e67f ManaRestore5
12c46704 ManaRestore5Postfix
f09b8813 ManaRestore5Prefix
ba657e7e ManaRestoreForTooltip
6c2ac4c2 ManaRestoreNL
ccdd1cad ManaRestoreOnKill
1c140994 ManaRestoreOnKill1
e3ff0791 ManaRestoreOnKill1Postfix
3702fc10 ManaRestoreOnKill1Prefix
1f140e4d ManaRestoreOnKill2
e739f74a ManaRestoreOnKill2Postfix
e8be7751 ManaRestoreOnKill2Prefix
1e140cba ManaRestoreOnKill3
d2bf98f7 ManaRestoreOnKill3Postfix
cfd8c5fe ManaRestoreOnKill3Prefix
191404db ManaRestoreOnKill4
4f30e210 ManaRestoreOnKill4Postfix
834ebfef ManaRestoreOnKill4Prefix
18140348 ManaRestoreOnKill5
9c3d1125 ManaRestoreOnKill5Postfix
bf862a64 ManaRestoreOnKill5Prefix
2deb1c8f ManaRestoreOnKillNL
2352bc5f ManaRestorePerSecond
12532ab ManaRestorePerSecondUpgraded
903bade1 ManaRestorePercent
1e9e7723 ManaRestoreRatio
e060995c ManaRestored
a5118697 ManaRestored1
b8fc8afc ManaRestored1Postfix
1485fe8b ManaRestored1Prefix
a611882a ManaRestored2
a0af44c7 ManaRestored2Postfix
48fc184e ManaRestored2Prefix
a71189bd ManaRestored3
9a98bb1a ManaRestored3Postfix
a14ee4a1 ManaRestored3Prefix
a0117eb8 ManaRestored4
88aa0d75 ManaRestored4Postfix
90c3e8f4 ManaRestored4Prefix
a111804b ManaRestored5
70e92de0 ManaRestored5Postfix
575f7fbf ManaRestored5Prefix
d304e22e ManaRestoredNL
eb274164 ManaReturn
3ad73765 ManaShieldPercentValue
283a93c5 ManaSteal
4836e91c ManaSteal1
612140f9 ManaSteal1Postfix
f9374518 ManaSteal1Prefix
4b36edd5 ManaSteal2
4e694152 ManaSteal2Postfix
88330179 ManaSteal2Prefix
4a36ec42 ManaSteal3
d50dd17f ManaSteal3Postfix
1dc4ac6 ManaSteal3Prefix
1fbc5467 ManaStealNL
72e47c17 ManaToADCalculation
d3dfcb73 ManaToAPCalculation
54dcb5aa ManaToHPRatio
eb3fdd2d ManaToHeal
6bc25e10 ManaToHealthCalc
5a1d7df9 ManaToHealthConversion
f2759891 ManaTooltip
749022d1 ManaperLevel
85862e11 MarkDamage
523a9c60 MarkDamage1
11530d9d MarkDamage1Postfix
f8a18ffc MarkDamage1Prefix
553aa119 MarkDamage2
9ceac8b6 MarkDamage2Postfix
e03834ad MarkDamage2Prefix
543a9f86 MarkDamage3
b081913 MarkDamage3Postfix
70261efa MarkDamage3Prefix
573aa43f MarkDamage4
478b22c4 MarkDamage4Postfix
c4dbd9d3 MarkDamage4Prefix
563aa2ac MarkDamage5
818faa69 MarkDamage5Postfix
2a0ae788 MarkDamage5Prefix
812eee13 MarkDamageNL
d79198e0 MarkDamagePercentMax
cd7e016a MarkDamagePercentMin
8bead200 MarkDuration
8591b167 MarkDuration_Jade
d8842735 MarkRange
cc8178a6 MarkerBuffDuration
e1386243 MarkerDuration
ef53f11a MassStolen
6b11fe8c MasterworkLevel
452bafa1 MaterialWorldAD
362b9804 MaterialWorldAS
d7a2e319 Max
4d25eb64 MaxAD
992ed4eb MaxADBonus
4125d880 MaxAH
7b25b11 MaxAOEDamage
3dc57360 MaxAOEDamage1
4ab7da9d MaxAOEDamage1Postfix
6b1daefc MaxAOEDamage1Prefix
40c57819 MaxAOEDamage2
d64f95b6 MaxAOEDamage2Postfix
52b453ad MaxAOEDamage2Prefix
3fc57686 MaxAOEDamage3
446ce613 MaxAOEDamage3Postfix
e2a23dfa MaxAOEDamage3Prefix
4cbf6313 MaxAOEDamageNL
2253f354 MaxAOEDistanceScaling
5925fe48 MaxAP
c3b40fcf MaxAPMultiplier
4fea9fb8 MaxAbilityHaste
85d6528f MaxAbilityHasteReward
7c7994f MaxAdaptive
d5aa6dd1 MaxAdaptive.-1
4e62850e MaxAdaptivePerStack
21c4ff9b MaxAmmo
d31e789e MaxAmmo1
ecfdcd2b MaxAmmo1Postfix
70198eb2 MaxAmmo1Prefix
d21e770b MaxAmmo2
429c2ca0 MaxAmmo2Postfix
3ab617f MaxAmmo2Prefix
d11e7578 MaxAmmo3
d8bf6d35 MaxAmmo3Postfix
d69fdeb4 MaxAmmo3Prefix
2db1dcf9 MaxAmmoNL
48b9e8d4 MaxAmmoPre
4f83a29a MaxAmmoTOOLTIP
478c0871 MaxAmpAmount
30424b38 MaxAmpNumber
8cfc92fe MaxAoEMult
2252e496 MaxAreaRadius
338b4e91 MaxAttackDamageCalc
d210ed1c MaxAttackSpeed
8418b521 MaxAttackSpeedCalc
cc2e817c MaxAttackSpeedCap
68f4c2d MaxAuraMonsterDamage
5169d8d3 MaxAutos
c0703a22 MaxBarrels
3ab6be9 MaxBarrels1
7e013c26 MaxBarrels1Postfix
9d336dd MaxBarrels1Prefix
ab6730 MaxBarrels2
6757f60d MaxBarrels2Postfix
8f4c0fac MaxBarrels2Prefix
1ab68c3 MaxBarrels3
ddff8238 MaxBarrels3Postfix
b02c34d7 MaxBarrels3Prefix
6ab70a2 MaxBarrels4
a177895f MaxBarrels4Postfix
47348d26 MaxBarrels4Prefix
7ab7235 MaxBarrels5
bfa1e632 MaxBarrels5Postfix
13189cd9 MaxBarrels5Prefix
4a6859d8 MaxBarrelsNL
83bfb144 MaxBase
dbc45b2f MaxBase1
881e0854 MaxBase1Postfix
13443fa3 MaxBase1Prefix
dcc45cc2 MaxBase2
b4a91eff MaxBase2Postfix
5f7a3746 MaxBase2Prefix
ddc45e55 MaxBase3
2e048ed2 MaxBase3Postfix
e5d0edf9 MaxBase3Prefix
37921a35 MaxBaseDamage
7efef44c MaxBaseDamage1
eec7c489 MaxBaseDamage1Postfix
91342728 MaxBaseDamage1Prefix
81fef905 MaxBaseDamage2
271d6ce2 MaxBaseDamage2Postfix
e5596309 MaxBaseDamage2Prefix
80fef772 MaxBaseDamage3
55331cf MaxBaseDamage3Postfix
411f5cd6 MaxBaseDamage3Prefix
7bfeef93 MaxBaseDamage4
a703aa8 MaxBaseDamage4Postfix
efd87 MaxBaseDamage4Prefix
7afeee00 MaxBaseDamage5
15ce13bd MaxBaseDamage5Postfix
e2036c9c MaxBaseDamage5Prefix
e320dd7 MaxBaseDamageNL
56623276 MaxBaseNL
c059042a MaxBeeStacks
6eec77ae MaxBleedStacks
b4b424ee MaxBlock
394e5589 MaxBonusAttackRange
64f5428f MaxBonusAttackSpeed
b1b66f3c MaxBonusCastRange
20c48f59 MaxBonusDamage
1e5c2386 MaxBonusDamagePercent
64186458 MaxBonusDamagePercent.0
2484c188 MaxBonusDuration
af167be0 MaxBonusHealShieldPower
5bd0d82e MaxBonusHealth
1d02880a MaxBonusHits
836b5395 MaxBonusMissileRange
b99bfe7b MaxBonusRatio
4bb647e1 MaxBonusRegen
b8240605 MaxBonusSeconds
69b37768 MaxBounceAdd
848ae0e8 MaxBounceCount
7f9ff59b MaxBounceCount1
5fc620d0 MaxBounceCount1Postfix
31d126af MaxBounceCount1Prefix
809ff72e MaxBounceCount2
7ad585b MaxBounceCount2Postfix
63548322 MaxBounceCount2Prefix
819ff8c1 MaxBounceCount3
db92a87e MaxBounceCount3Postfix
62a963f5 MaxBounceCount3Prefix
dd016eba MaxBounceCountNL
b2cb6dae MaxBounceDistance
153d914d MaxBounceDistance1
ac01684a MaxBounceDistance1Postfix
e383e251 MaxBounceDistance1Prefix
123d8c94 MaxBounceDistance2
a8c67891 MaxBounceDistance2Postfix
31c86710 MaxBounceDistance2Prefix
133d8e27 MaxBounceDistance3
ad5b7a2c MaxBounceDistance3Postfix
8a96243b MaxBounceDistance3Prefix
8f3d6444 MaxBounceDistanceNL
76740106 MaxBounces
af9de995 MaxBounces1
a13be012 MaxBounces1Postfix
f31f7739 MaxBounces1Prefix
ac9de4dc MaxBounces2
610fbab9 MaxBounces2Postfix
1ea547d8 MaxBounces2Prefix
ad9de66f MaxBounces3
d235dc94 MaxBounces3Postfix
f6db73e3 MaxBounces3Prefix
aa9de1b6 MaxBounces4
885ff823 MaxBounces4Postfix
75e5150a MaxBounces4Prefix
ab9de349 MaxBounces5
c8858b06 MaxBounces5Postfix
9123673d MaxBounces5Prefix
6d104fbc MaxBouncesNL
3cf2c1a3 MaxBrushDuration
ec47bcb9 MaxBuffStacks
65aa6553 MaxBurnCount
661aa051 MaxBurnSeconds
d51108ea MaxBursts
698f136e MaxCDCheck
18eb3adb MaxCastTime
4b157b08 MaxChainTargets
54b85f75 MaxChance
b6402610 MaxChannelDuration
7fc05f3 MaxChannelDuration1
8addb088 MaxChannelDuration1Postfix
3663ece7 MaxChannelDuration1Prefix
8fc0786 MaxChannelDuration2
4e091113 MaxChannelDuration2Postfix
639c46fa MaxChannelDuration2Prefix
9fc0919 MaxChannelDuration3
dfebc0b6 MaxChannelDuration3Postfix
d3ae5cad MaxChannelDuration3Prefix
afc0aac MaxChannelDuration4
c490a269 MaxChannelDuration4Postfix
1d810f88 MaxChannelDuration4Prefix
bfc0c3f MaxChannelDuration5
8a8c1ac4 MaxChannelDuration5Postfix
b85201d3 MaxChannelDuration5Prefix
2fa39d02 MaxChannelDurationNL
8c5753e9 MaxChannelTime
d6c84af5 MaxCharge
dec21249 MaxChargeAmp
b8f925d MaxChargeDuration
7c734bf4 MaxChargeTime
a34d50f2 MaxCharges
d5b622f9 MaxCharges1
70765716 MaxCharges1Postfix
8e41ca8d MaxCharges1Prefix
d2b61e40 MaxCharges2
bf32e4fd MaxCharges2Postfix
fca31edc MaxCharges2Prefix
d3b61fd3 MaxCharges3
b3d69ee8 MaxCharges3Postfix
33fcf7c7 MaxCharges3Prefix
d8b627b2 MaxCharges4
3e927c0f MaxCharges4Postfix
2637f616 MaxCharges4Prefix
d9b62945 MaxCharges5
21d20822 MaxCharges5Postfix
a0b78149 MaxCharges5Prefix
590568 MaxChargesNL
4cfb1634 MaxCooldown
e09fa060 MaxCount
ffc4b557 MaxCounter
89702b79 MaxCurrentHealthCalc
25c42996 MaxDRStacks
47d0e794 MaxDamage
b2dca8bf MaxDamage1
d7838c44 MaxDamage1Postfix
b649ba53 MaxDamage1Prefix
b3dcaa52 MaxDamage2
cf5cd72f MaxDamage2Postfix
e4b0b2b6 MaxDamage2Prefix
b4dcabe5 MaxDamage3
b516cc42 MaxDamage3Postfix
19a477e9 MaxDamage3Prefix
15246f4 MaxDamageAbilityAmp
5ab0dba2 MaxDamageAmp
5769a869 MaxDamageAmp1
dc48da6 MaxDamageAmp1Postfix
20bb8f5d MaxDamageAmp1Prefix
5469a3b0 MaxDamageAmp2
f71b478d MaxDamageAmp2Postfix
a634682c MaxDamageAmp2Prefix
806eecc9 MaxDamageAmpDistance
9ee19758 MaxDamageAmpNL
c02215f9 MaxDamageAmpTooltip
c366551e MaxDamageAttackAmp
fb3fa589 MaxDamageCalc
3ffd9744 MaxDamageCap
ac4e12fa MaxDamageDisplay
282a8d28 MaxDamageDistanceScaling
34e55017 MaxDamageEvolved
2d590e35 MaxDamageEvolvedNL
e6cd8508 MaxDamageFromCrit
5eb9e5af MaxDamageHPThreshold
92fe1cec MaxDamageHelper
116bd992 MaxDamageMult
3aeeb7ac MaxDamageMultiTOOLTIP
4330cdc6 MaxDamageNL
d555321b MaxDamagePerBullet
6e43d37c MaxDamagePerStrikeTooltip
69436212 MaxDamagePerTick
6c73be58 MaxDamagePercentTooltip
90f8c78 MaxDamageScalar
c1676235 MaxDamageTime
2c54dbef MaxDamageTooltip
7be1036 MaxDamageTotal
13e26b7c MaxDamageVsMonsters
8f82d52c MaxDashBase
4f33521b MaxDashCheatDistance
19d661e MaxDashDistance
8dae14fc MaxDashSpeed
8e1432fd MaxDelayTime
a7e7c7ff MaxDemonflareCast
892b3250 MaxDetonationDamageTooltip
e6108595 MaxDetonationTime
e6915cf6 MaxDistance
780d808a MaxDistanceForScaling
f2eb5c51 MaxDistanceOverWalls
1583bc01 MaxDmageTT
e613f90 MaxDmageTT1
b8094eed MaxDmageTT1Postfix
f57baa0c MaxDmageTT1Prefix
11614449 MaxDmageTT2
faf1a606 MaxDmageTT2Postfix
43c3c03d MaxDmageTT2Prefix
106142b6 MaxDmageTT3
bacc1323 MaxDmageTT3Postfix
28856e0a MaxDmageTT3Prefix
1361476f MaxDmageTT4
4a1f794 MaxDmageTT4Postfix
a97bcce3 MaxDmageTT4Prefix
126145dc MaxDmageTT5
937bd5b9 MaxDmageTT5Postfix
d145a0d8 MaxDmageTT5Prefix
a1b34f03 MaxDmageTTNL
6d243f11 MaxDmgToMonsters
fb3dc251 MaxDodgesForDamageIncrease
7ce7928f MaxDoomCD
ec1f44b9 MaxDuration
81b0cacc MaxDuration.1
7a395926 MaxDurationBeforeKill
7f473f35 MaxDurationBeforeKill1
140fe532 MaxDurationBeforeKill1Postfix
cd6e01d9 MaxDurationBeforeKill1Prefix
7c473a7c MaxDurationBeforeKill2
973a0ed9 MaxDurationBeforeKill2Postfix
27e5d478 MaxDurationBeforeKill2Prefix
7d473c0f MaxDurationBeforeKill3
33f883b4 MaxDurationBeforeKill3Postfix
53999083 MaxDurationBeforeKill3Prefix
b4a1b5dc MaxDurationBeforeKillNL
d7642e17 MaxEnemyPushbackDistance
ab0280b MaxEpicMonsterStacks
9105745a MaxExecuteMult
a1aa4c3f MaxExecuteThreshold
c0f56014 MaxExecuteVsMonsters
dc4dc638 MaxExtraCost
dc2ebcfc MaxEyeballs
3f51030e MaxFadeTime
a5668a7c MaxFerocity
a7e224db MaxFiretraps
a04ab209 MaxFiretraps-1
bc005682 MaxFlatDamageAOCalc
b9ae49f4 MaxFlatRestore
23e4fe95 MaxFury
64fcfbc3 MaxGloryStacks
4166c595 MaxGrit
367116cb MaxGrowths
2a4124ff MaxHPADRatio
76118a53 MaxHPBonusHPRatioTT
997a3956 MaxHPCoefficient
e25be8e4 MaxHPDamage
2baf874f MaxHPDamage1
606a18f4 MaxHPDamage1Postfix
c4c896c3 MaxHPDamage1Prefix
2caf88e2 MaxHPDamage2
6330879f MaxHPDamage2Postfix
e4bf7d66 MaxHPDamage2Prefix
2daf8a75 MaxHPDamage3
81595172 MaxHPDamage3Postfix
6b163419 MaxHPDamage3Prefix
26af7f70 MaxHPDamage4
65baa54d MaxHPDamage4Postfix
aa5a1aec MaxHPDamage4Prefix
27af8103 MaxHPDamage5
774af278 MaxHPDamage5Postfix
31aa2c17 MaxHPDamage5Prefix
5984416 MaxHPDamageNL
57e1ddcf MaxHPDamageRatio
9f758bbd MaxHPDamageValue
d4f872aa MaxHPHealRatio
c7d485ea MaxHPIncrement
6e8eb7c1 MaxHPIncrement1
614bed7e MaxHPIncrement1Postfix
9c2a2af5 MaxHPIncrement1Prefix
6b8eb308 MaxHPIncrement2
16c2e3e5 MaxHPIncrement2Postfix
7b4a4724 MaxHPIncrement2Prefix
6c8eb49b MaxHPIncrement3
e57f65d0 MaxHPIncrement3Postfix
6b51edaf MaxHPIncrement3Prefix
b4d365e0 MaxHPIncrementNL
d3850e11 MaxHPMultiplierTOOLTIP
a2a91ae9 MaxHPOnHit
e8354208 MaxHPOnHit1
eb3546c1 MaxHPOnHit2
ea35452e MaxHPOnHit3
84b75df4 MaxHPOnHitBase
b1a89d1f MaxHPOnHitBase1
c6f25924 MaxHPOnHitBase1Postfix
3bfe90b3 MaxHPOnHitBase1Prefix
b2a89eb2 MaxHPOnHitBase2
9511290f MaxHPOnHitBase2Postfix
96deb516 MaxHPOnHitBase2Prefix
b3a8a045 MaxHPOnHitBase3
7850b522 MaxHPOnHitBase3Postfix
115e4049 MaxHPOnHitBase3Prefix
aca89540 MaxHPOnHitBase4
15b191fd MaxHPOnHitBase4Postfix
6d49dddc MaxHPOnHitBase4Prefix
ada896d3 MaxHPOnHitBase5
a554be8 MaxHPOnHitBase5Postfix
a4a3b6c7 MaxHPOnHitBase5Prefix
aea89866 MaxHPOnHitBase6
7a9e1a73 MaxHPOnHitBase6Postfix
6511cbda MaxHPOnHitBase6Prefix
fd041e26 MaxHPOnHitBaseNL
913af256 MaxHPPercent
e61c65b3 MaxHPPercentDamage
3be86812 MaxHPPeriodicHeal
1ba6bd60 MaxHPRatio
c633edc MaxHPTrueDamage
767abcdf MaxHeal
472fa6ee MaxHealIncreaseTOOLTIP
1dbaa96a MaxHealIncreaseThreshold
a7bb89f7 MaxHealMissingHealthIncrease
e5ee49a1 MaxHealMult
83026b5a MaxHealThreshold
3aa920de MaxHealTooltip
4373d059 MaxHealing
71014378 MaxHealingPercentAmp
35921bc MaxHealingThreshold
19971f1b MaxHealth
72e60f1e MaxHealth1
48445cab MaxHealth1Postfix
63f07132 MaxHealth1Prefix
71e60d8b MaxHealth2
9de2bc20 MaxHealth2Postfix
f78243ff MaxHealth2Prefix
70e60bf8 MaxHealth3
3405fcb5 MaxHealth3Postfix
ca76c134 MaxHealth3Prefix
5b615de6 MaxHealthBase
b146b975 MaxHealthBase1
76786672 MaxHealthBase1Postfix
e27beb19 MaxHealthBase1Prefix
ae46b4bc MaxHealthBase2
89306619 MaxHealthBase2Postfix
3a350cb8 MaxHealthBase2Prefix
af46b64f MaxHealthBase3
55892df4 MaxHealthBase3Postfix
3c2e4dc3 MaxHealthBase3Prefix
2892bd9c MaxHealthBaseNL
7e1048d2 MaxHealthCalc
952bfec1 MaxHealthCap
b215a502 MaxHealthCost
6964cc9a MaxHealthDamage
94ae3131 MaxHealthDamage1
49afb90e MaxHealthDamage1Postfix
32495385 MaxHealthDamage1Prefix
91ae2c78 MaxHealthDamage2
e6bda35 MaxHealthDamage2Postfix
8ef9ddb4 MaxHealthDamage2Prefix
92ae2e0b MaxHealthDamage3
784899a0 MaxHealthDamage3Postfix
bc05607f MaxHealthDamage3Prefix
97ae35ea MaxHealthDamage4
8d2da087 MaxHealthDamage4Postfix
c9aef20e MaxHealthDamage4Prefix
98ae377d MaxHealthDamage5
b1176cda MaxHealthDamage5Postfix
f5c11a61 MaxHealthDamage5Prefix
1979809f MaxHealthDamageCalc
69ecdc50 MaxHealthDamageNL
ce1ba3f7 MaxHealthDamagePerMissile
59fbd32b MaxHealthDamagePercent
92ff6616 MaxHealthDamagePercentBase
bbfaebb3 MaxHealthDamageResistRatio
5b071ae6 MaxHealthDamageToNonHeroes
232f4075 MaxHealthDamageToNonHeroes1
88f8c372 MaxHealthDamageToNonHeroes1Postfix
dae83a19 MaxHealthDamageToNonHeroes1Prefix
202f3bbc MaxHealthDamageToNonHeroes2
9bb0c319 MaxHealthDamageToNonHeroes2Postfix
32a15bb8 MaxHealthDamageToNonHeroes2Prefix
212f3d4f MaxHealthDamageToNonHeroes3
68098af4 MaxHealthDamageToNonHeroes3Postfix
349a9cc3 MaxHealthDamageToNonHeroes3Prefix
1e2f3896 MaxHealthDamageToNonHeroes4
dec81e83 MaxHealthDamageToNonHeroes4Postfix
b3a5d0ea MaxHealthDamageToNonHeroes4Prefix
1f2f3a29 MaxHealthDamageToNonHeroes5
1c734866 MaxHealthDamageToNonHeroes5Postfix
e82f451d MaxHealthDamageToNonHeroes5Prefix
799f429c MaxHealthDamageToNonHeroesNL
ad8541e1 MaxHealthDamageTooltip
d3f6a5a0 MaxHealthDecreasePercent
bea956d4 MaxHealthDifference
fc6ffa74 MaxHealthGain
a946fa9f MaxHealthGain1
845205a4 MaxHealthGain1Postfix
ecbe0233 MaxHealthGain1Prefix
aa46fc32 MaxHealthGain2
5270d58f MaxHealthGain2Postfix
479e2696 MaxHealthGain2Prefix
ab46fdc5 MaxHealthGain3
35b061a2 MaxHealthGain3Postfix
c21db1c9 MaxHealthGain3Prefix
4b514ea6 MaxHealthGainNL
453b7ee5 MaxHealthGained
2f2da8b7 MaxHealthHPScalar
cae04af2 MaxHealthHPScalar1
28c2104f MaxHealthHPScalar1Postfix
3e5a1456 MaxHealthHPScalar1Prefix
c9e0495f MaxHealthHPScalar2
179c1064 MaxHealthHPScalar2Postfix
57f94af3 MaxHealthHPScalar2Prefix
c8e047cc MaxHealthHPScalar3
1236a309 MaxHealthHPScalar3Postfix
8e6edea8 MaxHealthHPScalar3Prefix
ffe43bd5 MaxHealthHPScalarNL
e2595974 MaxHealthHealPerSecond
687c9c12 MaxHealthHoT
9f29cb19 MaxHealthHoT1
ff80f6b6 MaxHealthHoT1Postfix
7d5e0ead MaxHealthHoT1Prefix
9c29c660 MaxHealthHoT2
73e93b9d MaxHealthHoT2Postfix
95c769fc MaxHealthHoT2Prefix
