200c87a0 %
bd50eb3 AFAmp2Postfix
2d77bf1a AFAmp2Prefix
633d8639 AFAmp3
84697656 AFAmp3Postfix
81c2b6cd AFAmp3Prefix
91bb31a2 AFAmpNL
ad8a6da AFPerHat
4324f60c AH
48871019 AHBase
3242dca3 AHBaseline
e9acf2b5 AHBuff
db227412 AHGrant
4f8d5eaa AHMax
39a0c3c0 AHMin
4fa56390 AHMod
fe4dea0a AHMult
f868c667 AHShare
7d268157 ALIAS
5a472710 ALL_OUT_DASH
88efa122 AOEAmp
146e59dc AOEDamage1
ed7e71b9 AOEDamage1Postfix
124a14d8 AOEDamage1Prefix
176e5e95 AOEDamage2
2daa9712 AOEDamage2Postfix
e6c44439 AOEDamage2Prefix
166e5d02 AOEDamage3
f803a3f AOEDamage3Postfix
4720d886 AOEDamage3Prefix
116e5523 AOEDamage4
ce3daa18 AOEDamage4Postfix
54e5da37 AOEDamage4Prefix
106e5390 AOEDamage5
120beaed AOEDamage5Postfix
36801e0c AOEDamage5Prefix
8e6d2390 AOEDamageModifier
5176b526 AOEDamageMultiplier
f2a471dc AOEDamageMultiplierNL
7e46a231 AOEDamagePercent1
9fc2840e AOEDamagePercent1Postfix
1963c85 AOEDamagePercent1Prefix
7b469d78 AOEDamagePercent2
647ea535 AOEDamagePercent2Postfix
5e46c6b4 AOEDamagePercent2Prefix
7c469f0b AOEDamagePercent3
ce5b64a0 AOEDamagePercent3Postfix
8b52497f AOEDamagePercent3Prefix
f92bd2e5 AOEModifier
29adf7d AOEPercent
bf9ef5f AOEPercentNL
5d2aa4cd AOESize
6039c5af AOESizeNL
55b7e2d6 AOMinDurationTOOLTIP
5b251bd4 AP
606ae97f AP1
29a95804 AP1Postfix
793d7313 AP1Prefix
616aeb12 AP2
c82dd4ef AP2Postfix
279cba76 AP2Prefix
626aeca5 AP3
6a00702 AP3Postfix
a21c45a9 AP3Prefix
2d563238 APADBoost
67b0c42b APADBoost1
40dcf040 APADBoost1Postfix
80d1299f APADBoost1Prefix
68b0c5be APADBoost2
e8c5bacb APADBoost2Postfix
ed3f56d2 APADBoost2Prefix
69b0c751 APADBoost3
9dc4b4ae APADBoost3Postfix
20db57a5 APADBoost3Prefix
6ab0c8e4 APADBoost4
1017fa81 APADBoost4Postfix
16fc4180 APADBoost4Prefix
6bb0ca77 APADBoost5
bf13f75c APADBoost5Postfix
e7ffaf6b APADBoost5Prefix
81031d0a APADBoostNL
b19c3b58 APAmount
61ced9e2 APAmp
cba0e729 APAmp1
7b13e766 APAmp1Postfix
c1ab8a1d APAmp1Prefix
c8a0e270 APAmp2
cbfab64d APAmp2Postfix
f3a865ec APAmp2Prefix
9552da66 APAmpCalcTooltip
d09b6198 APAmpNL
231ea85b APBaseline
d2a4f815 APBleedDamage
bdb2a0ac APBleedDamage1
697db469 APBleedDamage1Postfix
e9d2f588 APBleedDamage1Prefix
c0b2a565 APBleedDamage2
d0c6cc2 APBleedDamage2Postfix
e7fea569 APBleedDamage2Prefix
bfb2a3d2 APBleedDamage3
275277af APBleedDamage3Postfix
b30ae036 APBleedDamage3Prefix
630acdb7 APBleedDamageNL
cc4532fa APBonusDamage
5beef591 APBonusDamage1
ce64e2ee APBonusDamage1Postfix
73d210e5 APBonusDamage1Prefix
58eef0d8 APBonusDamage2
6969af15 APBonusDamage2Postfix
29394514 APBonusDamage2Prefix
59eef26b APBonusDamage3
d3dfd980 APBonusDamage3Postfix
aa0efadf APBonusDamage3Prefix
b3a39cb0 APBonusDamageNL
ecd7c62f APBoost
f5ace13a APBoost1
b075f277 APBoost1Postfix
8706f67e APBoost1Prefix
f4acdfa7 APBoost2
c64a62ac APBoost2Postfix
46fee9bb APBoost2Prefix
f3acde14 APBoost3
c1b56111 APBoost3Postfix
ee312c90 APBoost3Prefix
f2acdc81 APBoost4
c1657a3e APBoost4Postfix
335218b5 APBoost4Prefix
f1acdaee APBoost5
ab0b5e1b APBoost5Postfix
6e7c48e2 APBoost5Prefix
177d2b2d APBoostNL
d62965c9 APCalc
5cb25171 APCapstone
e1dd19a5 APCoefficient
230f43fc APCoefficient1
28455f59 APCoefficient1Postfix
892191f8 APCoefficient1Prefix
260f48b5 APCoefficient2
a51b35b2 APCoefficient2Postfix
